split,video_id,label,attack_type,frame_0,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9
train,client025_session01_webcam_authenticate_controlled_2,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client025_session01_webcam_authenticate_controlled_2/client025_session01_webcam_authenticate_controlled_2_f9.jpg
train,client006_session01_webcam_authenticate_controlled_1,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_1/client006_session01_webcam_authenticate_controlled_1_f9.jpg
train,client016_session01_webcam_authenticate_adverse_1,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_adverse_1/client016_session01_webcam_authenticate_adverse_1_f9.jpg
train,client001_session01_webcam_authenticate_controlled_2,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client001_session01_webcam_authenticate_controlled_2/client001_session01_webcam_authenticate_controlled_2_f9.jpg
train,client007_session01_webcam_authenticate_adverse_1,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_1/client007_session01_webcam_authenticate_adverse_1_f9.jpg
train,client007_session01_webcam_authenticate_controlled_2,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_controlled_2/client007_session01_webcam_authenticate_controlled_2_f9.jpg
train,client016_session01_webcam_authenticate_controlled_2,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client016_session01_webcam_authenticate_controlled_2/client016_session01_webcam_authenticate_controlled_2_f9.jpg
train,client018_session01_webcam_authenticate_controlled_2,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client018_session01_webcam_authenticate_controlled_2/client018_session01_webcam_authenticate_controlled_2_f9.jpg
train,client007_session01_webcam_authenticate_adverse_2,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client007_session01_webcam_authenticate_adverse_2/client007_session01_webcam_authenticate_adverse_2_f9.jpg
train,client006_session01_webcam_authenticate_controlled_2,0,real,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f0.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f1.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f2.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f3.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f4.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f5.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f6.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f7.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f8.jpg,/home/saslab01/Desktop/replay_pad/data/clips_10frame/train/real/client006_session01_webcam_authenticate_controlled_2/client006_session01_webcam_authenticate_controlled_2_f9.jpg
