video_id,label,pred_label,correct,error_type,client_id,environment,attack_type,support_type,video_score,threshold,clip_mean,clip_std,clip_min,clip_max,clip_over_threshold_ratio
test__attack__fixed__attack_highdef_client009_session01_highdef_photo_adverse,1,1,1,CORRECT,client009,adverse,photo,fixed,0.9998668879270554,0.103,0.9998668879270554,5.260156335445598e-06,0.9998563528060912,0.9998749494552612,1.0
test__attack__fixed__attack_highdef_client009_session01_highdef_photo_controlled,1,1,1,CORRECT,client009,controlled,photo,fixed,0.9998047947883606,0.103,0.9998047947883606,1.1526003393179051e-05,0.999784529209137,0.999824583530426,1.0
test__attack__fixed__attack_highdef_client009_session01_highdef_video_adverse,1,1,1,CORRECT,client009,adverse,video,fixed,0.9995119608938694,0.103,0.9995119608938694,0.00021822772681858032,0.9990320205688475,0.9997939467430116,1.0
test__attack__fixed__attack_highdef_client009_session01_highdef_video_controlled,1,1,1,CORRECT,client009,controlled,video,fixed,0.999861028045416,0.103,0.9998610280454159,3.6766368528934935e-05,0.9997703433036804,0.9999066591262816,1.0
test__attack__fixed__attack_highdef_client011_session01_highdef_photo_adverse,1,1,1,CORRECT,client011,adverse,photo,fixed,0.999705482274294,0.103,0.9997054822742939,2.0725204037027876e-05,0.9996626377105712,0.9997335076332092,1.0
test__attack__fixed__attack_highdef_client011_session01_highdef_photo_controlled,1,1,1,CORRECT,client011,controlled,photo,fixed,0.999636735767126,0.103,0.9996367357671261,2.6582611038151315e-05,0.9995903372764589,0.9996755123138428,1.0
test__attack__fixed__attack_highdef_client011_session01_highdef_video_adverse,1,1,1,CORRECT,client011,adverse,video,fixed,0.9998584985733032,0.103,0.9998584985733032,5.010754665676799e-05,0.99974924325943,0.999914050102234,1.0
test__attack__fixed__attack_highdef_client011_session01_highdef_video_controlled,1,1,1,CORRECT,client011,controlled,video,fixed,0.9998357780277728,0.103,0.9998357780277729,5.0440985891631013e-05,0.999723494052887,0.9998925924301147,1.0
test__attack__fixed__attack_highdef_client013_session01_highdef_photo_adverse,1,1,1,CORRECT,client013,adverse,photo,fixed,0.9997821822762488,0.103,0.9997821822762489,8.371482437828588e-06,0.9997631907463074,0.999794900417328,1.0
test__attack__fixed__attack_highdef_client013_session01_highdef_photo_controlled,1,1,1,CORRECT,client013,controlled,photo,fixed,0.9998497813940048,0.103,0.9998497813940048,6.981346952022102e-06,0.9998395442962646,0.9998602867126464,1.0
test__attack__fixed__attack_highdef_client013_session01_highdef_video_adverse,1,1,1,CORRECT,client013,adverse,video,fixed,0.999433521181345,0.103,0.999433521181345,0.00027947478357644585,0.9990115165710448,0.9997186064720154,1.0
test__attack__fixed__attack_highdef_client013_session01_highdef_video_controlled,1,1,1,CORRECT,client013,controlled,video,fixed,0.9998971484601498,0.103,0.9998971484601498,3.779580590994611e-05,0.9998127818107604,0.999948501586914,1.0
test__attack__fixed__attack_highdef_client014_session01_highdef_photo_adverse,1,1,1,CORRECT,client014,adverse,photo,fixed,0.9997562021017076,0.103,0.9997562021017075,1.8948546878993105e-05,0.9997236132621764,0.9997802376747132,1.0
test__attack__fixed__attack_highdef_client014_session01_highdef_photo_controlled,1,1,1,CORRECT,client014,controlled,photo,fixed,0.9999187886714936,0.103,0.9999187886714935,2.149516820844743e-06,0.9999154806137084,0.9999221563339232,1.0
test__attack__fixed__attack_highdef_client014_session01_highdef_video_adverse,1,1,1,CORRECT,client014,adverse,video,fixed,0.9999288618564606,0.103,0.9999288618564606,1.1638840324412696e-05,0.9998996257781982,0.9999456405639648,1.0
test__attack__fixed__attack_highdef_client014_session01_highdef_video_controlled,1,1,1,CORRECT,client014,controlled,video,fixed,0.9998796954751016,0.103,0.9998796954751015,5.794399204223335e-05,0.9997747540473938,0.999942660331726,1.0
